state,percent_of_students_taking_SAT_2018,SAT_average_reading_and_writing_score_2018,SAT_average_math_score_2018,SAT_total_average_score_2018,percent_of_students_taking_ACT_2018,ACT_total_average_score_2018,ACT_average_english_score_2018,ACT_average_math_score_2018,ACT_average_reading_score_2018,ACT_average_science_score_2018
Alabama,6.0,595,571,1166,100.0,19.1,18.9,18.3,19.6,19.0
Alaska,43.0,562,544,1106,33.0,20.8,19.8,20.6,21.6,20.7
Arizona,29.0,577,572,1149,66.0,19.2,18.2,19.4,19.5,19.2
Arkansas,5.0,592,576,1169,100.0,19.4,19.1,18.9,19.7,19.4
California,60.0,540,536,1076,27.0,22.7,22.5,22.5,23.0,22.1
Colorado,100.0,519,506,1025,30.0,23.9,23.9,23.2,24.4,23.5
Connecticut,100.0,535,519,1053,26.0,25.6,26.0,24.8,26.1,24.9
Delaware,100.0,505,492,998,17.0,23.2,23.7,23.1,24.5,23.4
District of Columbia,92.0,497,480,977,32.0,23.6,23.7,22.7,24.4,23.0
Florida,56.0,550,549,1099,66.0,19.9,19.2,19.3,21.1,19.5
Georgia,70.0,542,522,1064,53.0,21.4,20.9,20.7,21.2,21.4
Hawaii,56.0,480,530,1010,89.0,18.9,18.2,19.0,19.1,19.0
Idaho,100.0,508,493,1001,36.0,22.3,21.9,21.6,23.2,22.1
Illinois,99.0,513,506,1019,43.0,23.9,24.1,23.4,24.2,23.4
Indiana,63.0,542,532,1074,32.0,22.5,21.9,22.3,23.1,22.2
Iowa,3.0,634,631,1265,68.0,21.8,21.0,21.2,22.5,22.0
Kansas,4.0,633,631,1265,71.0,21.6,21.0,21.1,22.3,21.5
Kentucky,4.0,630,618,1248,100.0,20.2,19.9,19.7,20.8,20.1
Louisiana,4.0,615,595,1210,100.0,19.2,19.0,18.5,19.6,19.1
Maine,99.0,512,501,1013,7.0,24.0,23.8,23.6,24.7,23.4
Maryland,76.0,545,535,1080,31.0,22.5,22.1,22.0,23.1,22.2
Massachusetts,80.0,562,563,1125,25.0,25.5,25.5,25.2,25.9,24.7
Michigan,100.0,511,499,1011,22.0,24.4,24.5,23.9,24.7,23.9
Minnesota,4.0,643,655,1298,99.0,21.3,20.2,21.4,21.7,21.4
Mississippi,3.0,630,606,1236,100.0,18.6,18.2,18.1,18.9,18.6
Missouri,4.0,633,629,1262,100.0,20.0,19.5,19.7,20.5,20.0
Montana,10.0,606,592,1198,100.0,20.0,18.7,19.9,20.7,20.0
Nebraska,3.0,629,623,1252,100.0,20.1,19.4,19.8,20.4,20.1
Nevada,23.0,574,566,1140,100.0,17.7,16.6,17.8,18.0,17.9
New Hampshire,96.0,535,528,1063,16.0,25.1,25.1,24.7,25.6,24.4
New Jersey,82.0,547,547,1094,31.0,23.7,23.8,23.6,24.0,23.0
New Mexico,16.0,552,540,1093,67.0,19.4,18.3,19.1,20.1,19.7
New York,79.0,534,534,1068,27.0,24.5,24.2,24.2,24.9,24.2
North Carolina,52.0,554,543,1098,100.0,19.1,18.0,19.3,19.5,19.2
North Dakota,2.0,640,643,1283,98.0,20.3,19.1,20.3,20.7,20.5
Oklahoma,8.0,541,521,1062,100.0,19.3,18.4,18.8,20.1,19.4
Ohio,18.0,552,547,1099,100.0,20.3,19.3,20.3,20.8,20.4
Oregon,48.0,564,553,1117,42.0,21.3,20.6,20.9,21.9,21.1
Pennsylvania,70.0,547,539,1086,20.0,23.5,23.3,23.2,24.0,23.1
Rhode Island,97.0,513,505,1018,15.0,24.2,24.4,23.6,25.0,23.5
South Carolina,55.0,547,523,1070,100.0,18.3,17.3,18.2,18.6,18.5
South Dakota,3.0,622,618,1240,77.0,21.9,20.8,21.6,22.4,22.2
Tennessee,6.0,624,607,1231,100.0,19.6,19.4,19.1,19.9,19.6
Texas,66.0,520,512,1032,41.0,20.6,19.6,20.6,21.1,20.8
Utah,4.0,480,530,1010,100.0,20.4,19.7,19.9,20.9,20.5
Vermont,64.0,565,554,1120,24.0,24.1,23.9,23.4,24.9,23.8
Virginia,68.0,567,550,1117,24.0,23.9,23.8,23.3,24.7,23.5
Washington,69.0,543,538,1081,24.0,22.2,21.4,22.2,22.7,22.0
West Virginia,28.0,513,486,999,65.0,20.3,19.8,19.4,21.3,20.4
Wisconsin,3.0,641,653,1294,100.0,20.5,19.8,20.3,20.6,20.8
Wyoming,3.0,633,625,1257,100.0,20.0,19.0,19.7,20.6,20.3
